"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,4.44444444444444,0.4,2,518,10,4.49625742864396,26.4315480149631,-5.50374257135604,56.4584148265703,0,0.44
200,4.44444444444444,0.4,3,331,10,7.32575705962364,19.4681424948642,-2.67424294037636,26.4250363740684,0.53,0.74
200,4.44444444444444,0.4,4,237,10,9.44819232010606,6.16393400931966,-0.551807679893935,6.40678638481639,0.79,0.94
200,4.44444444444444,0.4,5,181,10,9.34451657296454,5.95351617355068,-0.655483427035461,6.32363953493333,0.79,0.94
200,4.44444444444444,0.4,6,143,10,9.74713714633315,2.38200818998146,-0.252862853666851,2.42212773084618,0.81,0.98
200,4.44444444444444,0.4,7,116,10,9.90487109753271,1.30113953164357,-0.0951289024672874,1.29717764441176,0.87,0.99
200,4.44444444444444,0.4,8,96,10,9.88034090427574,1.17540062442332,-0.119659095724263,1.17796491736864,0.92,0.99
200,4.44444444444444,0.4,9,81,10,9.80951869310363,1.14255524986899,-0.190481306896373,1.16741282564725,0.89,0.99
200,4.44444444444444,0.4,10,68,10,9.95927576178034,0.206895241175326,-0.0407242382196618,0.206484752342145,0.87,1
200,4.44444444444444,0.4,11,58,10,9.99357997267663,0.167315162216066,-0.00642002732337232,0.165683227344738,0.92,1
200,4.44444444444444,0.4,12,49,10,10.040756374944,0.115496891815939,0.040756374943987,0.116003004996354,0.93,1
200,4.44444444444444,0.4,13,42,10,10.0148498065353,0.131956836308146,0.0148498065352527,0.130857784699199,0.91,1
200,4.44444444444444,0.4,14,36,10,10.0035311596747,0.120751647335569,0.00353115967465989,0.119556599950862,0.93,1
200,4.44444444444444,0.4,15,30,10,10.0579386556332,0.122762489518643,0.057938655633226,0.124891752440042,0.93,1
200,4.44444444444444,0.4,16,26,10,10.0415522686025,0.0807669065684225,0.041552268602473,0.0816858285287504,0.96,1
200,4.44444444444444,0.4,17,22,10,10.0305917121852,0.0862808435555978,0.030591712185231,0.0863538879744659,0.93,1
200,4.44444444444444,0.4,18,18,10,10.0110555253351,0.0862305190106459,0.0110555253351041,0.0854904384609746,0.97,1
200,4.44444444444444,0.4,19,15,10,9.9779426161726,0.0947887801442821,-0.0220573838274039,0.0943274205241487,0.89,1
200,4.44444444444444,0.4,20,12,10,10.0052389384916,0.0849847326381937,0.00523893849163493,0.0841623317883309,0.91,1
200,4.44444444444444,0.4,21,9,10,10.0027659890326,0.109599905398863,0.00276598903257685,0.108511557040203,0.89,1
200,4.44444444444444,0.4,22,7,10,10.0148510548778,0.0858774299089855,0.0148510548778216,0.0852392094408797,0.97,1
200,4.44444444444444,0.4,23,4,10,9.96561850610285,0.0783654038805329,-0.0343814938971541,0.0787638369643276,0.93,1
200,4.44444444444444,0.4,24,2,10,10.0661967383247,0.0860106675794794,0.066196738324674,0.0895325690685099,0.89,1
